ORNEK_NO,old_id,new_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,ENVANTER_EKIBI,ENVANTER_TARIHI,YIL,BLOK,INTERSEPSIYON,TRANSPIRASYON,EVAPORASYON,KAYIP,VERIM,ORT_YAGIS,ORT_SICAKLIK
922917,41693,922917,İSTANBUL,Edirne,Edirne,26.87445622,41.9830328,BMl,BMl,0,23,9,Güney Doğu,449,489600,4647900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Üst Yamaç,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Az,Heterojen,,Yok,10,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2019,2019,4,48.545,51.205,116.375,216.125,448.875,665,11.2
922926,,,İSTANBUL,EDİRNE,EDİRNE,26.874615,41.901972,Çka0,Çka0,2,318,4,Düzlük,420,489600,4638900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Tohum+Sürgün ,Koru,IBRELI+YAPRAKLI,Gevşek Kapalı,Taban,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,A,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,Yok,,Yok,3,Örtülü,Yabanlaşmış,,Çürüntülü Yaprak,Yapraklı + İbreli Karışık,2,,1,ERGİN ÇAĞATAY ÇANKAYA,01-08-2022,2022,2,47.304,49.896,113.4,210.6,437.4,648,11.9
922949,41803,922949,İSTANBUL,Edirne,Edirne,26.87503571,41.68580487,Z,Z,0,494,4,Düzlük,110,489600,4614900,Edirne,Havsa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2020,2020,5,23.712,24.928,106.4,155.04,452.96,608,13.4
923188,46297,923188,İSTANBUL,EDİRNE,LALAPAŞA,26.91067072,41.98306669,McMlab3,McMlab3,1,28,5,Düzlük,414,492600,4647900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Tepe,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Orta,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Ham Humus,Yapraklı Karışık,2,1,1,ERGİN ÇAĞATAY ÇANKAYA,30-12-2021,2021,1,47.669,50.281,114.275,212.225,440.775,653,11.6
923190,,,İSTANBUL,EDİRNE,LALAPAŞA,26.910708,41.956047,Z,Z,0,181,2,Düzlük,367,492600,4644900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Yok,,,Yok,3,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf Yapraklı,2,,1,ERGİN ÇAĞATAY ÇANKAYA,01-08-2022,2022,2,25.116,26.404,112.7,164.22,479.78,644,11.9
923194,46327,923194,İSTANBUL,Edirne,Edirne,26.91078379,41.90200596,BMz,BMz,0,340,4,Düzlük,349,492600,4638900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,Orman,ÖMEROBA MUHAFA ORMANI,1,İSKAN,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Muhafaza Ormanı,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2019,2019,4,25.077,26.363,112.525,163.965,479.035,643,12.1
923196,46337,923196,İSTANBUL,Edirne,Edirne,26.91082138,41.87498547,Me,Me,0,356,7,Düzlük,382,492600,4635900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2020,2020,5,24.57,25.83,110.25,160.65,469.35,630,12.5
923206,46387,923206,İSTANBUL,Edirne,Edirne,26.91100854,41.73988107,Z,Z,0,432,7,Düzlük,152,492600,4620900,Edirne,Süloğlu,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,28-08-2020,2020,5,23.751,24.969,106.575,155.295,453.705,609,13.3
923374,51265,923374,İSTANBUL,Edirne,Edirne,26.94690771,41.95606902,BMc,BMc,0,193,8,Kuzey Doğu,364,495600,4644900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Gevşek Kapalı,Sırt,Orman,Orman,Statüsüz,,Orman Degil, ,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Az,Heterojen,,Yok,10,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2019,2019,4,24.999,26.281,112.175,163.455,477.545,641,12.1
923376,51275,923376,İSTANBUL,Edirne,Edirne,26.94693012,41.92904876,BMc,BMc,0,266,10,Düzlük,309,495600,4641900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2020,2020,5,24.999,26.281,112.175,163.455,477.545,641,12.1
