ORNEK_NO,new_id,old_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,ENVANTER_TARIHI,AKTUEL_MES_TIP,BONITET,RAKIM,EGIM,BAKI,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BİTKİ_ÖRTÜSÜ_TÜR,ORTALAMA_BOY,ÖRTME_ORANI,DİĞER_ORTU_TURU,YIL,BLOK
93860,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236701,42.009877,05-08-2023,ÇkMbc3,2,538,20,Kuzey Batı,Karadeniz kiyi ardi iliman iklim kusagi,Tohum+Sürgün ,Koru,YAPRAKLI+IBRELI,Normal Kapalı,Orta Yamaç,Kızılcık,2,1,,2023,3
93890,0,,İSTANBUL,KIRKLARELİ,KOFCAZ,27.236401,41.928818,16-12-2021,MGnc3,3,662,8,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Taban,Kızılcık,2,1,,2021,1
93900,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.236302,41.901797,29-07-2022,BM,0,563,40,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Orta Yamaç,Sığır Kuyruğu,0.35,1,,2022,2
93900,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.236302,41.901797,29-07-2022,BM,0,563,40,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Orta Yamaç,Kuşburnu,0.3,1,,2022,2
93900,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.236302,41.901797,29-07-2022,BM,0,563,40,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Orta Yamaç,Devedikeni,0.25,1,,2022,2
93900,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.236302,41.901797,29-07-2022,BM,0,563,40,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Orta Yamaç,Kızılcık,3.5,20,,2022,2
93900,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.236302,41.901797,29-07-2022,BM,0,563,40,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Orta Yamaç,Alıç,0.1,1,,2022,2
94000,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.235312,41.631589,31-07-2022,Me,3,155,20,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Ahlat,0.8,3,,2022,2
94000,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.235312,41.631589,31-07-2022,Me,3,155,20,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Boğadikeni,0.4,2,,2022,2
94000,0,,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.235312,41.631589,31-07-2022,Me,3,155,20,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Karaçalı,1.8,10,,2022,2
94040,0,,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.23492,41.523502,14-12-2021,BM,0,128,3,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+IBRELI,Gevşek Kapalı,Tepe,Adi ardıç,2,25,,2021,1
94040,0,,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.23492,41.523502,14-12-2021,BM,0,128,3,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+IBRELI,Gevşek Kapalı,Tepe,Laden,0.3,25,,2021,1
94040,0,,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.23492,41.523502,14-12-2021,BM,0,128,3,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+IBRELI,Gevşek Kapalı,Tepe,Karaçalı,1.8,15,,2021,1
94210,0,,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.233278,41.064109,31-07-2023,MzGna3,4,117,20,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Orta Yamaç,Kızılcık,2.5,10,,2023,3
94210,0,,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.233278,41.064109,31-07-2023,MzGna3,4,117,20,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Orta Yamaç,Tavşanmemesi,0.6,80,,2023,3
99133,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.273278,42.090855,05-08-2022,MGncd2,2,440,40,Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,Yabani Erik/Yunus Eriği/Alça,4.5,1,,2022,2
99133,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.273278,42.090855,05-08-2022,MGncd2,2,440,40,Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,Muşmula,3,1,,2022,2
99133,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.273278,42.090855,05-08-2022,MGncd2,2,440,40,Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,Kızılcık,3.5,5,,2022,2
99133,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.273278,42.090855,05-08-2022,MGncd2,2,440,40,Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,Alıç,2,10,,2022,2
99143,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.273162,42.063836,05-08-2023,MGnbc2,3,431,20,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI,Normal Kapalı,Üst Yamaç,Böğürtlen,0.7,2,,2023,3
99573,0,,İSTANBUL,TEKİRDAĞ,GANOSLAR,27.268325,40.901884,18-07-2021,MzGna3,4,230,14,Kuzey,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Normal Kapalı,Orta Yamaç,Tavşanmemesi,0.3,10,,2021,1
99573,0,,İSTANBUL,TEKİRDAĞ,GANOSLAR,27.268325,40.901884,18-07-2021,MzGna3,4,230,14,Kuzey,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Normal Kapalı,Orta Yamaç,Kuşburnu,0.3,5,,2021,1
99573,0,,İSTANBUL,TEKİRDAĞ,GANOSLAR,27.268325,40.901884,18-07-2021,MzGna3,4,230,14,Kuzey,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Normal Kapalı,Orta Yamaç,Akçakesme/Kesme,1.4,15,,2021,1
99573,0,,İSTANBUL,TEKİRDAĞ,GANOSLAR,27.268325,40.901884,18-07-2021,MzGna3,4,230,14,Kuzey,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Normal Kapalı,Orta Yamaç,Adi ardıç,1.1,20,,2021,1
99583,0,,İSTANBUL,TEKİRDAĞ,GANOSLAR,27.268216,40.874859,18-08-2022,KDA,0,248,5,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,,,,,2022,2
99633,0,,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.267673,40.739732,18-08-2022,MlMza3,5,367,25,Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Orta Yamaç,Boğadikeni,0.2,1,,2022,2
99643,0,,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.267564,40.712707,30-07-2023,BMkr,0,248,3,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,,,,,2023,3
104749,0,,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.304191,40.955845,09-01-2022,MzGna3,4,210,10,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Alt Yamaç,Böğürtlen,1.5,70,,2021,1
104799,0,,İSTANBUL,TEKİRDAĞ,GANOSLAR,27.303573,40.820721,04-07-2022,Ö.A,0,508,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Gevşek Kapalı,Orta Yamaç,Bodur Ardıç,1.1,30,,2021,1
104799,0,,İSTANBUL,TEKİRDAĞ,GANOSLAR,27.303573,40.820721,04-07-2022,Ö.A,0,508,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Gevşek Kapalı,Orta Yamaç,Laden,0.2,40,,2021,1
104819,0,,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.303327,40.76667,25-07-2023,Z,0,524,10,Kuzey,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Gevşek Kapalı,Üst Yamaç,Kuşburnu,1,2,,2023,3
109346,0,,İSTANBUL,KIRKLARELİ,KİRAZPINAR ,27.345535,42.036621,05-08-2023,Z,0,469,4,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Üst Yamaç,,,,,2023,3
109376,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.345097,41.955563,16-12-2021,Mbc3,2,529,8,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,,,,,2021,1
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Kızılcık,3,5,,2022,2
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Adi fındık,6,20,,2022,2
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Alıç,1.5,5,,2022,2
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Dağ çileği,0.15,1,,2022,2
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Kuşburnu,3,5,,2022,2
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Sütleğen,0.15,2,,2022,2
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Adi Üvez/Ayıt,2,7,,2022,2
109386,0,,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,30-07-2022,BM,0,509,10,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Eğrelti,0.7,2,,2022,2
